"In_sample","theta","alpha","lambda","rho","mae","rmse"
1,3,0,0.000999999999999999,0.991486638955195,0.0735703710285699,0.125435836240351
1,3,0,0.000999999999999999,0.991442261671806,0.0836711735910994,0.131758123608318
1,3,0,0.000999999999999999,0.996481089206139,0.0609793113509895,0.0840298133801772
1,3,0,0.000999999999999999,0.986124299027481,0.119944163032816,0.167328710538823
1,3,0,0.000999999999999999,0.98720690885972,0.11451287549075,0.159609088981139
1,3,0,0.000999999999999999,0.985965501575864,0.122184183328028,0.165512533185849
1,3,0,0.000999999999999999,0.994059369149557,0.076458811654944,0.104434561003183
1,3,0,0.000999999999999999,0.983273450214738,0.100951509215248,0.166361746718913
1,3,0.025,0.000999999999999999,0.981835684775598,0.128593674544921,0.190330071201007
1,3,0.025,0.000999999999999999,0.990110594144522,0.094847030505105,0.139835956057532
1,3,0.025,0.000999999999999999,0.995155071894836,0.0651170909747108,0.0988119217318304
1,3,0.025,0.000999999999999999,0.991812600350853,0.086449965054834,0.128335272793101
1,3,0.025,0.000999999999999999,0.991699518412832,0.0795590415495332,0.128296258237559
1,3,0.025,0.000999999999999999,0.983504888641064,0.124744420168859,0.183602322752997
1,3,0.025,0.000999999999999999,0.98883871719045,0.10650300556386,0.151479612517213
1,3,0.025,0.000999999999999999,0.990606127931527,0.100360047340558,0.137614886895237
1,2,0.025,0.000999999999999999,0.994496214825014,0.08215342646896,0.107267881881756
1,2,0.025,0.000999999999999999,0.990048003589328,0.11045286149043,0.139274148516184
1,2,0.025,0.000999999999999999,0.985902519415135,0.12254336933881,0.168889435604387
1,2,0.025,0.000999999999999999,0.978198254205197,0.108010873600351,0.196104979671708
1,2,0.025,0.000999999999999999,0.991727584308475,0.100676923604724,0.129015854911103
1,2,0.025,0.000999999999999999,0.991767435918581,0.0944099638626926,0.126864994865823
1,2,0.025,0.000999999999999999,0.974302891180286,0.154424394598749,0.225475959589577
1,2,0.025,0.000999999999999999,0.992258507431668,0.0903354920636556,0.127236023735978
1,0.01,0.125,0.000999999999999999,0.983694099266086,0.138064288696639,0.178807586932942
1,0.01,0.125,0.000999999999999999,0.992902151236799,0.094723242453277,0.118415112396825
1,0.01,0.125,0.000999999999999999,0.984294962741387,0.139192377668198,0.174298688752417
1,0.01,0.125,0.000999999999999999,0.972523246349514,0.162536913276865,0.232087036241223
1,0.01,0.125,0.000999999999999999,0.992559473841605,0.0937108222721385,0.12175336338114
1,0.01,0.125,0.000999999999999999,0.985070907614922,0.121569450662407,0.169572951243494
1,0.01,0.125,0.000999999999999999,0.991456541748068,0.0999554408072691,0.130383604875914
1,0.01,0.125,0.000999999999999999,0.987019289508405,0.11488265867189,0.160463874322963
1,0.75,0.05,0.000999999999999999,0.981170923028515,0.147988176107659,0.193493245250406
1,0.75,0.05,0.000999999999999999,0.969170693857606,0.178262353656261,0.247625414186951
1,0.75,0.05,0.000999999999999999,0.986551606856058,0.117438195811041,0.163607470946042
1,0.75,0.05,0.000999999999999999,0.994769974011621,0.0739611918782962,0.0997598071503856
1,0.75,0.05,0.000999999999999999,0.9916660065487,0.0976725227980615,0.126564673605731
1,0.75,0.05,0.000999999999999999,0.992351096929304,0.076881775444306,0.12351691505945
1,0.75,0.05,0.000999999999999999,0.994326272460538,0.0754535939699109,0.106376980015406
1,0.75,0.05,0.000999999999999999,0.977655965330232,0.158492598293692,0.210421369946951
1,3,0.025,0.000999999999999999,0.99794287791255,0.0451074773466041,0.0642452351246265
1,3,0.025,0.000999999999999999,0.988353505290239,0.108860534427401,0.146456021843755
1,3,0.025,0.000999999999999999,0.991055176015725,0.103673172511405,0.137183963243213
1,3,0.025,0.000999999999999999,0.992739655980001,0.0908458193815902,0.121894056088422
