"variable","theta","alpha","lambda","mse","msesd","nonzero","rho"
1,0.25,0.025,0.000999999999999999,0.00628127936364044,0.0170979038547325,144.268041237113,0.996857206802689
2,0.75,0,0.000999999999999999,0.0145961291543915,0.0596267342201982,146,0.992664842136736
3,1,0,0.000999999999999999,0.00679101908972257,0.0220930248779941,146,0.996533038751547
4,0.5,0.05,0.000999999999999999,0.00419804074750393,0.00934591653477486,130.628865979381,0.997958373450706
5,0.05,0.075,0.000999999999999999,0.00796989718334789,0.0236124021333838,126.742268041237,0.995984868317025
6,4,0.05,0.000999999999999999,0.0197368240704525,0.052689641962855,103.144329896907,0.990082770106436
7,1.5,0,0.000999999999999999,0.00439155800135262,0.0121508474976761,146,0.997766856001005
8,0.5,0.05,0.000999999999999999,0.013741462868759,0.0469974245830686,133.711340206186,0.993064960435075
9,2,0.025,0.000999999999999999,0.0116428933518949,0.0388184252684331,137.39175257732,0.994131410184515
10,0.25,0.05,0.000999999999999999,0.0134007394097828,0.0421559015093918,136.731958762887,0.993194943129283
11,0.25,0.025,0.000999999999999999,0.00363548240572072,0.0133255029411967,139.917525773196,0.998186722667976
12,0.005,0.025,0.000999999999999999,0.0197703418704921,0.0798365793791253,144.649484536082,0.98998826570437
13,0.75,0,0.000999999999999999,0.0061032757631257,0.0283152433505775,146,0.996938583301982
14,1,0.05,0.000999999999999999,0.00640703599502057,0.0134780173022128,130.288659793814,0.996745558523614
15,1,0.125,0.000999999999999999,0.00606798896179871,0.0183508918618248,97.4948453608247,0.997036407170383
16,4,0.225,0.000999999999999999,0.0137941992446046,0.0486651477230372,49.5670103092784,0.992997248819014
17,2,0.2,0.000999999999999999,0.00289434800412629,0.00767252234790501,64.2061855670103,0.998561818778091
18,0.05,0.025,0.000999999999999999,0.00936296654246675,0.0250742274913541,142.948453608247,0.995256328508152
19,0.75,0.05,0.000999999999999999,0.0047638045782432,0.0156332206494457,128.020618556701,0.997592087020848
20,0.05,0.075,0.000999999999999999,0.0078977797505316,0.0272589394049061,118.886597938144,0.99600338756598
21,3,0,0.000999999999999999,0.0027977393256003,0.00681871060513347,146,0.998629361876192
22,0.01,0.075,0.000999999999999999,0.0060622546384034,0.0153717982250868,122.948453608247,0.99695653950643
23,0,0,0.000999999999999999,0.0205523835358453,0.0883932318120985,146,0.989741018927241
24,0.75,0,0.000999999999999999,0.00351497097952999,0.00823520477141843,146,0.998216003985904
25,3,0.025,0.000999999999999999,0.00846366396451135,0.0247141801653516,126.247422680412,0.995808114464418
26,0.75,0.025,0.000999999999999999,0.00543289646631248,0.018503607741,138.309278350515,0.997278788192149
