"variable","theta","alpha","lambda","mse","msesd","nonzero","rho"
1,8,0.025,0.0848342898244071,0.0118573042075174,0.0219405928228886,89.9896907216495,0.994807753733627
2,8,1,0.000999999999999999,0.00595881555374993,0.00909176374692433,25.5154639175258,0.997041247235308
3,6,0.325,0.000999999999999999,0.0154181021015529,0.0336181976294309,50.1340206185567,0.992169066278494
4,8,0,0.372759372031494,0.0340595357760955,0.0599983115835356,129,0.984296252641586
5,8,0,0.610540229658533,0.0802027131979092,0.313040220219454,129,0.959616551848094
6,6,0.95,0.000999999999999999,0.0174217907303112,0.0260218489619362,31.7010309278351,0.991118164912666
7,8,0.575,0.00163789370695406,0.00618231845214298,0.00918128444218095,35.2164948453608,0.996863445488937
8,8,0,0.610540229658533,0.0384693990084301,0.0799136485989844,129,0.983678343384878
9,8,0,0.0316227766016838,0.0428715924944882,0.0640468423730869,129,0.97817034012832
10,6,0.025,0.0193069772888325,0.00733687103661486,0.00937143530261205,84.8762886597938,0.996296442433797
11,8,0.975,0.00163789370695406,0.0107448193996648,0.0153154759031892,26.2061855670103,0.994621074740349
12,6,1,0.000999999999999999,0.00936535368175661,0.0178706011807632,27.8556701030928,0.995292258378796
13,8,0,0.0517947467923121,0.0204788848450189,0.0287366643935464,129,0.989584627485633
14,4,0.275,0.00268269579527972,0.00764388540519285,0.0144809774111423,46.4948453608247,0.996156413936155
15,6,1,0.00163789370695406,0.00530197917625523,0.00644509831697594,23.2886597938144,0.997327582264917
16,8,0.05,0.0193069772888325,0.0134072169825951,0.0174871880957375,66.8762886597938,0.99338213672845
17,8,0.25,0.00719685673001152,0.0152508944443227,0.0181528301814266,37.0309278350515,0.992640041969652
18,8,0.025,0.0316227766016838,0.0118734368700015,0.0181004462926766,78.7731958762887,0.994193274838086
19,8,0,0.372759372031494,0.0487274038910331,0.114253500846018,129,0.97826734564764
20,8,0.2,0.00268269579527972,0.0106875050912992,0.017184295844334,49.2577319587629,0.994786315314951
21,8,0.025,0.0117876863479359,0.00815349889493905,0.0121052418973495,83.680412371134,0.995936004182853
