"In_sample","theta","alpha","lambda","rho","mae","rmse"
1,8,0.025,0.0848342898244071,0.993482215508955,0.0872963651773979,0.117939488520887
1,8,0.025,0.0848342898244071,0.996181193148782,0.0663681065214131,0.0878332517950062
1,8,0.025,0.0848342898244071,0.991626728483006,0.0954759431523563,0.128722149755419
1,8,0.025,0.0848342898244071,0.977840176138458,0.165551963587364,0.219408748016146
1,8,0.025,0.0848342898244071,0.932626860283895,0.237184496637081,0.361249582091398
1,8,0.025,0.0848342898244071,0.988499496740674,0.119146952197573,0.150058654730042
1,8,0.025,0.0848342898244071,0.996660579366132,0.0642731531520815,0.0811005840370244
1,8,0.025,0.0848342898244071,0.967302140850595,0.212159996069381,0.2665021071232
1,8,0.125,0.00439397056076079,0.971083675371069,0.179861200024467,0.237018390086246
1,8,0.125,0.00439397056076079,0.995318277278017,0.0756614652372005,0.0960963384186009
1,8,0.125,0.00439397056076079,0.994573552048214,0.0808118559124405,0.103551400215386
1,8,0.125,0.00439397056076079,0.996151606277012,0.0676349424906132,0.0875966057302668
1,8,0.125,0.00439397056076079,0.985312721377564,0.131249435100408,0.169739913579491
1,8,0.125,0.00439397056076079,0.995782509147671,0.0735044600179184,0.0920432268990814
1,8,0.125,0.00439397056076079,0.997375579726216,0.0589029263074844,0.0720825025216835
1,8,0.125,0.00439397056076079,0.994026537271548,0.0841092036487657,0.109434486980847
1,8,0.025,0.0517947467923121,0.992843840248999,0.0952742665784942,0.120160774092829
1,8,0.025,0.0517947467923121,0.993490033022881,0.0839501705916572,0.114869123751938
1,8,0.025,0.0517947467923121,0.94105046667901,0.239850547413878,0.342800986669671
1,8,0.025,0.0517947467923121,0.995231059401472,0.0763030593591454,0.0990095265525519
1,8,0.025,0.0517947467923121,0.994996709094253,0.0800995978680624,0.100134806791731
1,8,0.025,0.0517947467923121,0.99434121575325,0.0902030831933472,0.106142479537585
1,8,0.025,0.0517947467923121,0.99558144967346,0.0723680485610665,0.0936693422594878
1,8,0.025,0.0517947467923121,0.994025737881502,0.0830569603268637,0.108955956970888
1,8,0,0.372759372031494,0.998389954692847,0.0426096563965152,0.0565114512182678
1,8,0,0.372759372031494,0.996654032275821,0.0607218193335098,0.0815593710940959
1,8,0,0.372759372031494,0.947605103947256,0.269208454411129,0.35428838611811
1,8,0,0.372759372031494,0.964928869646205,0.210248347659745,0.285335026642622
1,8,0,0.372759372031494,0.998544303113662,0.0423370444466593,0.0536473616143079
1,8,0,0.372759372031494,0.99043782032086,0.0954308239850784,0.141088434778514
1,8,0,0.372759372031494,0.986114429213391,0.136114164908624,0.165686892681904
1,8,0,0.372759372031494,0.989591770742756,0.115643710417982,0.143062917108381
1,8,0,0.610540229658533,0.994529737559997,0.0840851477717984,0.104463079972903
1,8,0,0.610540229658533,0.994310442568065,0.0889360514742336,0.106283396095356
1,8,0,0.610540229658533,0.986646560041232,0.129822394654672,0.16304241745403
1,8,0,0.610540229658533,0.97410181577943,0.162357834772837,0.228675767470595
1,8,0,0.610540229658533,0.996851151349401,0.0645323269152562,0.0797504775903907
1,8,0,0.610540229658533,0.999165398192193,0.0298890151696745,0.0408207189304902
1,8,0,0.610540229658533,0.949967443561067,0.218017233132007,0.313369866061656
1,8,0,0.610540229658533,0.995347948090484,0.0754123066469234,0.0969301939917438
1,8,0,0.0193069772888325,0.987405941641927,0.123244798093693,0.158777349076267
1,8,0,0.0193069772888325,0.996530630102231,0.069460348695895,0.0830642365906352
1,8,0,0.0193069772888325,0.99889629454849,0.0364558071942489,0.0467806070830406
1,8,0,0.0193069772888325,0.997491588912346,0.0508588235116022,0.070633190805594
1,8,0,0.0193069772888325,0.997936367823271,0.0514795884383656,0.0638648664167067
1,8,0,0.0193069772888325,0.988732831537519,0.122599377187903,0.149210092675009
1,8,0,0.0193069772888325,0.993588537391615,0.0847892955716526,0.114001857327364
1,8,0,0.0193069772888325,0.971995197271356,0.198968396698007,0.249088770304106
1,8,0.125,0.00719685673001152,0.994959633841668,0.0759307944592889,0.0998093954838189
1,8,0.125,0.00719685673001152,0.988397092271951,0.120083820502029,0.152687017892217
1,8,0.125,0.00719685673001152,0.949132779996862,0.229370544484434,0.314394121004842
1,8,0.125,0.00719685673001152,0.994234946605209,0.0820319908934202,0.107090939838066
1,8,0.125,0.00719685673001152,0.903327347607476,0.356362719315797,0.459595185121405
1,8,0.125,0.00719685673001152,0.9969328080175,0.0628165450205537,0.0785078797499925
1,8,0.125,0.00719685673001152,0.996578762074059,0.0650984938544533,0.0825995433092518
1,8,0.125,0.00719685673001152,0.99600274982778,0.072723498281645,0.0898249620850105
1,8,0,0.610540229658533,0.995594753618077,0.0751280570106595,0.093726204416777
1,8,0,0.610540229658533,0.956675720167066,0.19387739152242,0.291059103162837
1,8,0,0.610540229658533,0.992203058080732,0.101746123252617,0.126215163747906
1,8,0,0.610540229658533,0.994478476557033,0.0779278082276322,0.105617651284084
1,8,0,0.610540229658533,0.993941179437086,0.0807438204641775,0.109647342850482
1,8,0,0.610540229658533,0.99620493069376,0.065363828311759,0.0864788022749864
1,8,0,0.610540229658533,0.993798841171739,0.082569276073268,0.111101306301498
1,8,0,0.610540229658533,0.992853905571513,0.0962068936912222,0.122132705020172
1,8,0,0.0316227766016838,0.986070196722461,0.129154525220314,0.165412105178923
1,8,0,0.0316227766016838,0.956906672238399,0.206355537666884,0.291182060640144
1,8,0,0.0316227766016838,0.993578143517855,0.0841883849114591,0.11311642509389
1,8,0,0.0316227766016838,0.995184631706829,0.0706251658375696,0.0988647808257404
1,8,0,0.0316227766016838,0.975989099837894,0.162844919390879,0.219487955605355
1,8,0,0.0316227766016838,0.969396185584046,0.181404044682785,0.246912152813244
1,8,0,0.0316227766016838,0.995861443388206,0.0700161326173496,0.0915943063841019
1,8,0,0.0316227766016838,0.942512474559126,0.277658377738119,0.34468015540987
1,6,0.025,0.0193069772888325,0.985269500059029,0.136429095503707,0.16933808819054
1,6,0.025,0.0193069772888325,0.995055843427663,0.0778905278141165,0.0989362450721171
1,6,0.025,0.0193069772888325,0.993111829240462,0.0933718510490662,0.117238122989314
1,6,0.025,0.0193069772888325,0.922162745787692,0.261272817403626,0.388102459637953
1,6,0.025,0.0193069772888325,0.969322339884487,0.194568031444911,0.248580630600086
1,6,0.025,0.0193069772888325,0.977403747993813,0.160951043402434,0.214202686770809
1,6,0.025,0.0193069772888325,0.998361876012944,0.0438782944129281,0.0571268724009758
1,6,0.025,0.0193069772888325,0.996014978774797,0.0692506305379614,0.0889568196428572
1,8,0,0.0193069772888325,0.995640143911844,0.070531229245987,0.094283251210328
1,8,0,0.0193069772888325,0.998182868936408,0.0466627310393047,0.0598614067810415
1,8,0,0.0193069772888325,0.997108342630009,0.058885778018413,0.0756387145578194
1,8,0,0.0193069772888325,0.997162130347227,0.0585881402191045,0.0756616064748125
1,8,0,0.0193069772888325,0.945878543251952,0.216574806781577,0.326134410763044
1,8,0,0.0193069772888325,0.996681144632875,0.0620382286513116,0.0817599205294562
1,8,0,0.0193069772888325,0.992727703966573,0.0909091631020233,0.120239137435595
1,8,0,0.0193069772888325,0.990643274764557,0.0953669152101317,0.135634312064546
1,6,0.125,0.00268269579527972,0.997395288819482,0.056048734911403,0.0725961479000242
1,6,0.125,0.00268269579527972,0.987804981462854,0.116657845721095,0.156048879944265
1,6,0.125,0.00268269579527972,0.892418009655662,0.329705106522359,0.450122666773227
1,6,0.125,0.00268269579527972,0.928211504172314,0.282603033068185,0.373557364455689
1,6,0.125,0.00268269579527972,0.997847860174486,0.0521719791525271,0.0654105509135026
1,6,0.125,0.00268269579527972,0.975602091907494,0.169861158883349,0.217624126495785
1,6,0.125,0.00268269579527972,0.997601619136981,0.053263681057003,0.0691686259125463
1,6,0.125,0.00268269579527972,0.995288214541542,0.0680550107294446,0.0966692490732477
1,8,0,0.0517947467923121,0.993573562677751,0.0884896978103595,0.118142481272528
1,8,0,0.0517947467923121,0.968466249053923,0.155150029854949,0.254077546334695
1,8,0,0.0517947467923121,0.995977787036859,0.0744082553485182,0.0904558496457943
1,8,0,0.0517947467923121,0.956171706567888,0.159156300811297,0.291824425004442
1,8,0,0.0517947467923121,0.992430915991932,0.0945908974127174,0.12494105281627
1,8,0,0.0517947467923121,0.991693351222804,0.099481676662467,0.127855860418464
1,8,0,0.0517947467923121,0.990442915754077,0.106100562216421,0.13717725722724
1,8,0,0.0517947467923121,0.974464568167172,0.179667287234272,0.237823965738516
1,8,0.125,0.00268269579527972,0.996948811872107,0.0568769947044594,0.0781882670267024
1,8,0.125,0.00268269579527972,0.994388710333993,0.086522731533937,0.105643120581096
1,8,0.125,0.00268269579527972,0.998022275337243,0.0481264944751441,0.0625739555870096
1,8,0.125,0.00268269579527972,0.993968608096899,0.0847258699470643,0.109556903452325
1,8,0.125,0.00268269579527972,0.993111746704106,0.08849278770098,0.11738653203125
1,8,0.125,0.00268269579527972,0.997608848806876,0.0550090058940617,0.0691317557866803
1,8,0.125,0.00268269579527972,0.996600183738582,0.0637722653663497,0.081953572164289
1,8,0.125,0.00268269579527972,0.953138993848811,0.199503153344261,0.304169307004855
1,6,0.05,0.00439397056076079,0.981897231930488,0.137657757627189,0.188584791353686
1,6,0.05,0.00439397056076079,0.931404679723329,0.273684796991316,0.363427395373103
1,6,0.05,0.00439397056076079,0.997993036676002,0.0493006897297489,0.0630671981149176
1,6,0.05,0.00439397056076079,0.997922432990705,0.0479233780485203,0.0642206480272845
1,6,0.05,0.00439397056076079,0.997193214917411,0.0596439128423773,0.0749485458058765
1,6,0.05,0.00439397056076079,0.930056215297515,0.265676725933312,0.369981304315553
1,6,0.05,0.00439397056076079,0.99687623166977,0.0656177412568557,0.0794015426601235
1,6,0.05,0.00439397056076079,0.959211256399163,0.197546729283174,0.292759084573224
1,8,0.05,0.0193069772888325,0.959420911287862,0.230010043937014,0.296805381184053
1,8,0.05,0.0193069772888325,0.995156849686668,0.0798200707426229,0.0984454216291659
1,8,0.05,0.0193069772888325,0.994655150174714,0.0782417956493349,0.103088692707301
1,8,0.05,0.0193069772888325,0.96741640846385,0.205786343592448,0.261330585258409
1,8,0.05,0.0193069772888325,0.960096963794962,0.221119253184856,0.281801005840214
1,8,0.05,0.0193069772888325,0.998729946051308,0.0415491461720199,0.0500780142725737
1,8,0.05,0.0193069772888325,0.984233700440697,0.134567484305408,0.180294871891103
1,8,0.05,0.0193069772888325,0.994340217052807,0.0833850688694814,0.106431262554507
1,8,0.1,0.0193069772888325,0.972387043045911,0.181264469905394,0.23383431798153
0,8,0.025,0.0848342898244071,1,0.0464367906637346,0.0482109360589205
0,8,0.025,0.0848342898244071,1,0.0823083638920669,0.0955664816706895
0,8,0.025,0.0848342898244071,1,0.0210174565454932,0.0296043421563111
0,8,0.025,0.0848342898244071,1,0.18334390212775,0.20793532618281
0,8,0.025,0.0848342898244071,1,0.234601094547135,0.25090010238742
0,8,0.025,0.0848342898244071,1,0.0294354122540125,0.0364841537990563
0,8,0.025,0.0848342898244071,1,0.0708700477699885,0.0715432950106605
0,8,0.025,0.0848342898244071,1,0.226206830652234,0.247456320830126
0,8,0.125,0.00439397056076079,1,0.114511072566894,0.114539306658534
0,8,0.125,0.00439397056076079,1,0.0544984804497782,0.0546514571895706
0,8,0.125,0.00439397056076079,1,0.11553222061011,0.115871287686252
0,8,0.125,0.00439397056076079,1,0.0536418854681993,0.064457917709719
0,8,0.125,0.00439397056076079,1,0.00299617312725386,0.00303307316550368
0,8,0.125,0.00439397056076079,1,0.0242351190062511,0.0256331821099884
0,8,0.125,0.00439397056076079,1,0.0458939505996798,0.046141846232494
0,8,0.125,0.00439397056076079,1,0.072448329901828,0.0803756734284991
0,8,0.025,0.0517947467923121,1,0.179833994702717,0.189194913461908
0,8,0.025,0.0517947467923121,1,0.126107717511519,0.157504909209012
0,8,0.025,0.0517947467923121,1,0.714376674500459,0.731201003302433
0,8,0.025,0.0517947467923121,1,0.0456219146248388,0.0490375495016202
0,8,0.025,0.0517947467923121,1,0.189547016161598,0.255129045473973
0,8,0.025,0.0517947467923121,1,0.105177926422368,0.117944721198421
0,8,0.025,0.0517947467923121,1,0.118983305214232,0.132726396875585
0,8,0.025,0.0517947467923121,1,0.140150373200014,0.140338426548327
0,8,0,0.372759372031494,1,0.0914188831936876,0.0986584373777952
0,8,0,0.372759372031494,1,0.190058699224628,0.193014548731842
0,8,0,0.372759372031494,1,0.17128166409234,0.179601193173786
0,8,0,0.372759372031494,1,0.505476023634364,0.510881894688863
0,8,0,0.372759372031494,1,0.0176687752445229,0.0176859765246778
0,8,0,0.372759372031494,1,0.0892054737368997,0.0892296836574751
0,8,0,0.372759372031494,1,0.0297252439471569,0.0336169370303196
