"variable","theta","alpha","lambda","mse","msesd","nonzero","rho"
1,8,0,0.00719685673001152,0.00339380173795166,0.00436415452910118,147,0.998292891738317
2,6,0,0.372759372031494,0.0061906584127922,0.00908362639186222,147,0.996958568798279
3,8,0,0.0517947467923121,0.00508600328696042,0.0076957755437918,147,0.997495472600353
4,8,0,1,0.026160829412157,0.0384631560533357,147,0.99019230786961
5,8,0,0.372759372031494,0.0151656613629121,0.0309314036352444,147,0.993052693868948
6,8,0,0.0848342898244071,0.00921530066455711,0.0183339175026772,147,0.995338654534289
7,8,0.025,0.0517947467923121,0.0137916858072774,0.0453616049160144,107.494845360825,0.993080257499828
8,8,0,0.0848342898244071,0.00647024037207406,0.00931049141655617,147,0.99680095556489
9,8,0.025,0.0316227766016838,0.00892596249953462,0.0149712032428726,112.59793814433,0.995766912742571
10,8,0,1,0.0265494662983993,0.0677147323821843,147,0.987573597102639
11,4,0,0.138949549437314,0.00711745452377719,0.00875560413076736,147,0.996409134182602
12,6,0,0.0517947467923121,0.00251490553222092,0.00309366674331703,147,0.998735857491148
13,8,0,0.610540229658533,0.0224477321070589,0.0492443242598656,147,0.990241851045244
14,8,0,0.0193069772888325,0.0072384677129273,0.00923193565339595,147,0.996352918670366
15,8,0,0.138949549437314,0.00480446370363888,0.0066107883480768,147,0.997622594402416
16,8,0,0.372759372031494,0.0150763838726842,0.0324284145550325,147,0.993087715146381
17,8,0,0.227584592607479,0.00694992538258485,0.0144626751849282,147,0.996746111034964
18,8,0,0.227584592607479,0.00675784900176,0.00983487870823413,147,0.996777759689839
19,6,0.025,0.0316227766016838,0.00340329345441418,0.00787668074454485,87.0927835051546,0.998312439031029
20,4,0,0.0517947467923121,0.00283490833020075,0.00434898679456821,147,0.998572873378367
21,8,0,0.227584592607479,0.0135570389096318,0.0300452883814462,147,0.993504630346147
22,8,0,0.138949549437314,0.00395153472995943,0.00571703076032478,147,0.998079705864346
23,8,0,0.0517947467923121,0.00418963590474497,0.00557105385177937,147,0.997897288508685
24,8,0,0.0517947467923121,0.00443715560852039,0.00688289531012182,147,0.997798279672135
25,8,0,0.0517947467923121,0.00303483319957127,0.00421861327729224,147,0.998482176427346
26,8,0,0.610540229658533,0.0238772950418212,0.0508537917641595,147,0.989716376042029
27,8,0.025,0.372759372031494,0.0566609398289264,0.121201576047027,40.7835051546392,0.973320753551097
28,8,0,0.372759372031494,0.0144238288132303,0.0353455985886659,147,0.993159858155113
29,8,0,0.610540229658533,0.0211873979971249,0.0485076883717516,147,0.990394459273141
30,8,0,0.0848342898244071,0.00586559545097816,0.010276727966868,147,0.997171575850835
31,6,0,0.0517947467923121,0.0032726588925803,0.00448975475900822,147,0.998357761764332
32,8,0,1,0.0175231514606758,0.0325546791667141,147,0.993550377478205
33,8,0,0.610540229658533,0.0280713590596828,0.125822735837404,147,0.986905369866892
34,8,0,0.138949549437314,0.00300274958041721,0.00446333572548797,147,0.998534892164284
35,3,0.275,0.00439397056076079,0.00322250762124177,0.00453240971428397,37.0618556701031,0.998375595493196
36,8,0.025,0.0193069772888325,0.00515873651554575,0.00779941199440391,111.80412371134,0.997419213202066
37,6,0,0.0848342898244071,0.00441664149748319,0.00592839578754776,147,0.997772620426105
38,8,0.85,0.0193069772888325,0.0372393362031579,0.0767785304585513,6.92783505154639,0.982670509205487
39,8,0,0.227584592607479,0.0127422166621774,0.0187472113563333,147,0.993817882627776
40,8,0,0.138949549437314,0.0103969214765137,0.0165238908953908,147,0.994832600542997
41,0,0,0.138949549437314,0.00137483651920392,0.00186900984936213,147,0.999304845922154
42,8,0,0.372759372031494,0.0146542666696611,0.0200408920117033,147,0.993956894413021
43,8,0,0.227584592607479,0.00964031417946965,0.0139022321507384,147,0.996084322787365
44,3,0.25,0.000999999999999999,0.0032686120972722,0.00447319640107265,57.8659793814433,0.998348849344944
45,6,0,0.0316227766016838,0.00374312401133768,0.00523777874906309,147,0.998129573967918
46,3,0,0.000999999999999999,0.00157871262977966,0.00194389683644461,147,0.999207982860738
47,8,0,0.610540229658533,0.0257602586649682,0.0409700561521679,147,0.989081608932758
48,8,0,0.227584592607479,0.00658831746964834,0.0101823237616642,147,0.996784692754925
49,8,1,0.00163789370695406,0.0469062771790842,0.148969339520961,25.7319587628866,0.976774165669825
50,6,0,0.0193069772888325,0.00323813432032424,0.0111583452235386,147,0.99835910911249
51,4,0,0.00719685673001152,0.00143250869608317,0.00224758494238268,147,0.999285058385839
52,8,0,0.372759372031494,0.0105414454229481,0.0183412959530276,147,0.995498800988548
53,8,0,0.138949549437314,0.00949872361076633,0.0151020341426348,147,0.99524335723828
54,0.01,0.1,0.000999999999999999,0.00533763631540754,0.00761549885266649,117.329896907216,0.997295893413161
55,6,0,0.0316227766016838,0.00268960843809401,0.00351145776874898,147,0.998649386640877
56,8,0,0.610540229658533,0.0219217766050336,0.031560375990267,147,0.990047809967997
57,8,0,0.610540229658533,0.0244558458831315,0.0571268924471697,147,0.98907741806076
