"variable","theta","alpha","lambda","mse","msesd","nonzero","rho"
1,8,0,0.0117876863479359,0.00277711090574835,0.00926887617773675,81,0.998589557505814
2,8,0,0.000999999999999999,0.0002473744584819,0.000647276211456103,81,0.999875466294482
3,8,0,0.0117876863479359,0.000991308055802065,0.00266969984885406,81,0.99949911033428
4,8,0.025,0.000999999999999999,0.000375795551776365,0.00169701057381512,67.5670103092783,0.999815869582784
5,4,0.025,0.00439397056076079,0.00164562965066996,0.00357024171733479,63.8659793814433,0.999221053898265
6,8,0.025,0.000999999999999999,0.000712358347027923,0.00188827045718414,69.2680412371134,0.999664852791289
7,8,0,0.000999999999999999,0.000266229074746471,0.000452035276339274,81,0.999867022784071
8,8,0.25,0.000999999999999999,0.00110585043927355,0.00235950868154457,33.8247422680412,0.999449533024669
9,8,0,0.0117876863479359,0.00136247143720799,0.00734800543804369,81,0.999308886760169
10,8,0.175,0.000999999999999999,0.000581173533199854,0.00129341899757832,39.0721649484536,0.999715170858432
11,8,0,0.00268269579527972,0.00131338708606727,0.00610453502118188,81,0.999338870995995
12,6,0,0.000999999999999999,0.000497556639587082,0.000798645755949694,81,0.999738703044123
13,6,0.175,0.000999999999999999,0.000644222740042142,0.00145482233180957,35.3505154639175,0.9996777968265
14,8,0.625,0.00268269579527972,0.003693320619822,0.0152872402270658,19.1752577319588,0.998209425451015
15,8,0,0.0193069772888325,0.00149490701324972,0.00550205868905731,81,0.999250679567301
16,8,0.6,0.000999999999999999,0.0026405996392774,0.00791559219958377,19.7216494845361,0.998693399210626
17,3,0.925,0.000999999999999999,0.00425738151369469,0.0166900358298937,16.7835051546392,0.997857330068291
18,8,0,0.0517947467923121,0.00767086190001912,0.0309506455867184,81,0.99608801732124
19,6,0.125,0.000999999999999999,0.000191531985657843,0.000494417924867059,39.9072164948454,0.999901255537849
20,8,0,0.000999999999999999,0.00125932963666312,0.00844890797751994,81,0.999374027610044
21,8,0.025,0.000999999999999999,0.00141341222465706,0.0033160370290645,62.3917525773196,0.999314530497046
22,8,0.075,0.000999999999999999,0.00138840804351139,0.00760470328380986,52.4123711340206,0.999304821845452
23,6,0,0.000999999999999999,0.00023999470945399,0.000478531086971791,81,0.999878354599941
24,8,0.05,0.000999999999999999,0.000446666379230217,0.000948137363350644,44.4639175257732,0.999774443749327
25,8,0,0.0193069772888325,0.00217819141693115,0.0130572737792929,81,0.998888232854924
26,8,0,0.0193069772888325,0.00328741057310597,0.0145059262051433,81,0.998350059624104
27,8,0.025,0.00719685673001152,0.0111353725372842,0.0602334495522723,64.979381443299,0.994513565262451
28,6,0.05,0.000999999999999999,0.000365389099299906,0.00119807370979142,61.6494845360825,0.999812785852016
29,8,0.075,0.000999999999999999,0.000462309759851123,0.00137862002691171,51.5154639175258,0.999768621996799
30,6,0.425,0.000999999999999999,0.000789581244594078,0.00246728262503489,25.2680412371134,0.999606087375515
31,6,0,0.000999999999999999,0.001418859016882,0.0101943930242217,81,0.999300876300261
32,6,0,0.000999999999999999,0.00036573446634461,0.000582559347487448,81,0.999816813003402
33,8,0,0.000999999999999999,0.000236272677767164,0.000687910714799524,81,0.999881133378498
34,8,0.05,0.0117876863479359,0.00489133767427203,0.0173799987618835,56.2680412371134,0.997568581348726
35,8,0,0.000999999999999999,0.000916424273485931,0.00243003202040459,81,0.999501220356799
36,6,0,0.000999999999999999,0.0004550128221798,0.00211027254202067,81,0.999775707600043
37,6,0,0.000999999999999999,0.00391720434119321,0.03020258892256,81,0.998061563449319
38,8,0,0.00268269579527972,0.00171789673567046,0.0130785062416053,81,0.999144002094914
39,6,0.2,0.000999999999999999,0.000423653436954365,0.000918954232817753,38.7525773195876,0.999797848119562
40,8,0.75,0.0316227766016838,0.0445604163131962,0.1921957100479,1.04123711340206,0.978602037210893
41,8,0.1,0.000999999999999999,0.00024695709018042,0.000372766227230057,41.2783505154639,0.999876030659004
42,4,0.975,0.000999999999999999,0.00362152827807417,0.0223290228453068,14.639175257732,0.998246905281184
43,8,0,0.00439397056076079,0.00253010896638546,0.00670589869324961,81,0.998724228073938
44,6,0,0.000999999999999999,0.000162352930081416,0.000307814871949931,81,0.999918715494712
45,3,0,1,0.0591674039708969,0.261519998515054,81,0.970974372896823
46,4,0,0.00268269579527972,0.00235613030194068,0.00809166281359689,81,0.998834408632779
47,8,0,0.0117876863479359,0.0012470690207081,0.00642877857721435,81,0.999361339692023
48,8,0.625,0.000999999999999999,0.00268105011587354,0.00848057951907497,23.9587628865979,0.998685774442863
49,8,1,0.000999999999999999,0.00557334478406363,0.0321190591114438,13.1443298969072,0.997236072195004
50,8,0,0.000999999999999999,0.000346356055960321,0.000732904017473363,81,0.999824290468643
51,6,0.975,0.000999999999999999,0.00114449292742594,0.00248847943084719,16.639175257732,0.999445238921643
52,8,0.05,0.00439397056076079,0.000943759262250208,0.00237887609969378,55.2371134020619,0.999532023784131
53,8,0,0.00268269579527972,0.00214509306367521,0.0120915952982417,81,0.998947467390645
54,6,0.05,0.000999999999999999,0.000222847083985396,0.000524885035781618,57.2577319587629,0.999886709160013
55,8,0.075,0.000999999999999999,0.00161675160035531,0.0023450196694993,54.8350515463918,0.999199418652339
56,8,0.1,0.00268269579527972,0.00442085112048351,0.0137646281447328,33.4329896907216,0.997834041512817
57,8,0.25,0.000999999999999999,0.00223682509698744,0.00786132761605589,30.2164948453608,0.998855296758095
58,6,0.025,0.000999999999999999,0.000626399471616487,0.00138276587012769,72.1649484536082,0.99968570960473
