"variable","theta","alpha","lambda","mse","msesd","nonzero","rho"
1,8,0.075,0.000999999999999999,0.000272917621886902,0.000513210837378764,60.4226804123711,0.999863563810911
2,8,0,0.00163789370695406,0.000576292726242799,0.00238273531525934,98,0.999687983912008
3,8,0.3,0.000999999999999999,0.00122426782534628,0.00286836130344939,31.0309278350515,0.999382962811043
4,8,0,0.00268269579527972,0.000796671281704575,0.00278882209575616,98,0.999611006269476
5,6,0.425,0.000999999999999999,0.00096988420810496,0.00300588960665886,31.5257731958763,0.999504028683017
6,8,0.025,0.0117876863479359,0.00162907752297533,0.00536967969477344,67.7628865979381,0.999158256135376
7,8,0,0.000999999999999999,0.000277631368232188,0.000545628132224198,98,0.999859953358379
8,8,0,0.00268269579527972,0.000483945023008813,0.00109461680589281,98,0.999754374534176
9,8,0.15,0.000999999999999999,0.000316979001687388,0.000990987183603199,25.2783505154639,0.999831622910861
10,8,0.025,0.000999999999999999,0.00086840510719333,0.00257994476183787,79.8144329896907,0.999565608900716
11,6,0.025,0.000999999999999999,0.000292040886990508,0.000657642418270374,83.2474226804124,0.999849220446565
12,8,0.05,0.00163789370695406,0.000545747337929263,0.00132689430099074,60.639175257732,0.999719786177255
13,8,0,0.00163789370695406,0.000583771893555678,0.00144376157803309,98,0.999716467168677
14,8,0,0.00163789370695406,0.000298405284626762,0.000773643695565484,98,0.999847944810514
15,4,0.075,0.000999999999999999,0.000566080331325741,0.00172394647733321,61.4226804123711,0.999717691012291
16,6,0.05,0.000999999999999999,0.00122600735152651,0.00353587504196566,68.4226804123711,0.999413274304109
17,8,0.025,0.000999999999999999,0.00205122306064148,0.011594755034177,80.1855670103093,0.998954958329614
18,6,0.2,0.000999999999999999,0.000682885675954532,0.00190653967651382,36.0618556701031,0.999645714226636
19,8,0.1,0.000999999999999999,0.000828036828239893,0.00217514384967155,53.9381443298969,0.999576243162092
20,8,0.025,0.000999999999999999,0.000496826712833275,0.0013803356541825,81.0824742268041,0.999761750408408
21,8,0.05,0.000999999999999999,0.000511938193194534,0.00166995139273822,73.8350515463918,0.999744853615204
22,8,0.125,0.000999999999999999,0.000586861532327882,0.00171795335555998,50.0721649484536,0.999705886114777
23,8,0,0.000999999999999999,0.000288500024306204,0.000770565937627513,98,0.999830769767567
24,8,0.15,0.000999999999999999,0.00369266445498807,0.0198951464599578,42.1752577319588,0.998178313291202
25,8,0,0.000999999999999999,0.000813298653611733,0.00210332388586667,98,0.999586960865567
26,6,0,0.0848342898244071,0.0236198756207793,0.148303345956428,98,0.988456979927511
27,8,0.075,0.000999999999999999,0.000309831918097631,0.00143580206747501,43.5051546391753,0.999831913681889
28,3,0.9,0.000999999999999999,0.0326799426251921,0.172094493376548,15.4845360824742,0.988204839283655
29,8,0.05,0.000999999999999999,0.000823390092130556,0.00362086376391026,30.639175257732,0.999598278440218
30,8,0.05,0.000999999999999999,0.00243717998646939,0.00822099852628039,67.4123711340206,0.998815879614994
31,8,0,0.000999999999999999,0.00498871687474728,0.0202562093505861,98,0.997527663200148
32,8,0,0.000999999999999999,0.00752282593457583,0.0243159520238083,98,0.996277038111509
33,8,0.15,0.000999999999999999,0.00200440374820376,0.00665906761525751,46.6701030927835,0.999002645269367
34,8,0.25,0.00719685673001152,0.00746965793738322,0.0259388834231905,15.5051546391753,0.996288963064333
35,8,0.1,0.000999999999999999,0.000895168095670614,0.00312032883676349,53.8041237113402,0.999552495286558
36,8,0,0.00439397056076079,0.000158749840432037,0.000716355397567158,98,0.99992012334973
37,8,0.025,0.000999999999999999,0.00105852112746907,0.00295129992472153,80.6185567010309,0.999456994006182
38,8,0.95,0.000999999999999999,0.0011318509956817,0.00335626893573103,14.659793814433,0.999428686611858
39,6,0.225,0.000999999999999999,0.000812925139965015,0.00218002094522097,40.5567010309278,0.99959214240207
40,8,0.75,0.000999999999999999,0.00122342047930157,0.00280201606460909,15.7525773195876,0.999396016803795
41,6,0.35,0.000999999999999999,0.00222077869761179,0.00913105942340617,29.3814432989691,0.998852258963726
42,8,0.025,0.000999999999999999,0.00200222364915584,0.00664251145468598,75.1443298969072,0.999017264304402
43,6,0.025,0.00163789370695406,0.0011712028894556,0.00309797805825911,80.0103092783505,0.999406307300724
44,8,0.225,0.000999999999999999,0.000352566185112356,0.000655442495937621,36.8247422680412,0.999823155514296
45,6,0.025,0.000999999999999999,0.000162424859521699,0.000387881465751257,80.5670103092783,0.999919233888043
