"variable","theta","alpha","lambda","mse","msesd","nonzero","rho"
1,3,0.65,0.000999999999999999,0.0618946457895445,0.0975987305317504,54.1030927835052,0.967951859402528
2,8,0.3,0.0316227766016838,0.290534343032671,0.538385545584134,5.28865979381443,0.841489458941766
3,4,1,0.000999999999999999,0.0312640478763888,0.073706940351294,29.5670103092784,0.984479485157457
4,3,0.3,0.000999999999999999,0.0686029956109118,0.0868488383498211,68.2371134020619,0.965330402972738
5,6,0.825,0.000999999999999999,0.0424183117774375,0.0990194367763448,21.4329896907216,0.978539589567023
6,4,0.3,0.000999999999999999,0.0143461445573228,0.0246888881569607,46.5876288659794,0.99266320355726
7,8,0.225,0.0517947467923121,0.194870027973608,0.320734678192435,12.979381443299,0.899436336960788
8,3,0.9,0.000999999999999999,0.0215912695333834,0.026946449159785,42.8762886597938,0.988932178682678
9,1,1,0.000999999999999999,0.0510127054418291,0.0712733255026494,60.0824742268041,0.97377701138081
10,8,0.825,0.00719685673001152,0.227768977515562,0.489377694099791,7.77319587628866,0.878629084399286
11,4,0.925,0.000999999999999999,0.0609655647579179,0.0926056493524029,38.2886597938144,0.968915499439335
12,3,0.8,0.000999999999999999,0.0578119942576138,0.130812918411125,50.340206185567,0.970581064069297
13,3,0.925,0.000999999999999999,0.0564572891827616,0.091515097399456,45.9484536082474,0.971031026214975
14,6,1,0.000999999999999999,0.0826318391820755,0.20443638824144,23.0721649484536,0.959396574798788
15,6,0.95,0.000999999999999999,0.189517035927866,0.40256989214059,28.4845360824742,0.902337435241066
16,6,0.1,0.000999999999999999,0.050663968441541,0.0703289531968973,67.5257731958763,0.974168814813143
17,8,0.275,0.000999999999999999,0.0450025312994632,0.0722722238873499,32.9278350515464,0.977596170029491
18,8,0,0.00163789370695406,0.052906299510021,0.0898820890741846,114,0.973651431673772
19,6,0.075,0.000999999999999999,0.0153304781429352,0.0273650581169131,65.8556701030928,0.992303117073475
20,3,0.2,0.000999999999999999,0.0279902305464736,0.0485197257283443,68.4948453608247,0.985837035013931
21,6,1,0.00163789370695406,0.0599337653592271,0.089006550864524,20.5257731958763,0.969683668625781
22,6,0.8,0.000999999999999999,0.140028441363162,0.217290055235299,31.0103092783505,0.925893070900487
23,4,0.45,0.00163789370695406,0.0896714693419162,0.165823004319516,46.1546391752577,0.954256147456148
24,4,1,0.00163789370695406,0.0288632213868152,0.113902053897322,25.2061855670103,0.985640774042268
25,6,0.025,0.00268269579527972,0.110324261410959,0.24878025828757,92.2680412371134,0.942159012865474
26,8,0.975,0.000999999999999999,0.103093621588364,0.22850274051556,19.1958762886598,0.947700900795091
27,6,0.55,0.000999999999999999,0.0603911473401321,0.106482143292981,32.9896907216495,0.96997942306565
28,6,0.05,0.000999999999999999,0.0352865096770927,0.0562410546979317,78.9484536082474,0.982169478320447
29,0.25,0.7,0.000999999999999999,0.0252721627828584,0.0380320278503059,70.0927835051546,0.987327330825535
30,8,1,0.00163789370695406,0.0838044501322581,0.148726743110009,14.2061855670103,0.958541474607327
31,8,0.925,0.000999999999999999,0.0472376732963762,0.0786747546038253,15.8659793814433,0.977248715489019
32,2,0.7,0.00268269579527972,0.083593286578602,0.112634074655408,49.8453608247423,0.956670196717703
33,4,0.65,0.000999999999999999,0.134962474669889,0.199546409865117,51.4639175257732,0.930564600830354
34,4,0.775,0.00163789370695406,0.0209600630491993,0.0282540015420933,26.5154639175258,0.989488457908817
35,6,0,0.000999999999999999,0.0106394752108539,0.0210208359861171,114,0.994669282560507
36,6,0.8,0.000999999999999999,0.0791633135729364,0.155823926214258,28.360824742268,0.959788788729449
37,6,0.275,0.000999999999999999,0.0221120465616556,0.0378826738914134,37.5567010309278,0.988688396529386
38,1.5,0.3,0.000999999999999999,0.00803399239264348,0.0113104233911324,65.3298969072165,0.995980529144836
39,6,0.225,0.000999999999999999,0.0184509940698384,0.0335399753199077,41.5257731958763,0.99077478633111
40,4,0.35,0.00163789370695406,0.0774923363251462,0.135532440157689,49.3505154639175,0.960716704684296
41,8,1,0.000999999999999999,0.115423565051255,0.299858663938785,17.2061855670103,0.940212578014466
42,8,0.775,0.00163789370695406,0.0846505471122013,0.237685449900368,12.8350515463918,0.95689568025222
43,4,0.65,0.000999999999999999,0.0329873409597304,0.0434212397746373,40.9175257731959,0.983154006972574
44,2,0.15,0.00268269579527972,0.0465500458150285,0.0672109336646666,73.659793814433,0.976038301204145
45,8,0.15,0.00268269579527972,0.0063609014209857,0.0173182461207732,18.5773195876289,0.99680550899199
46,0.5,0.725,0.000999999999999999,0.0165787912818855,0.0205818550408031,63.5670103092784,0.991603988811024
47,6,0,0.000999999999999999,0.0933726207440059,0.16503848797335,114,0.951531327047987
48,1.5,0.8,0.00163789370695406,0.0430717150151704,0.0502216623335405,46.6288659793814,0.977953440088375
49,8,1,0.00268269579527972,0.095894370673083,0.201543804958451,9.23711340206185,0.951475079376358
50,8,0.65,0.000999999999999999,0.0846026347112332,0.176447940481604,21.1958762886598,0.957659209790737
51,4,0.4,0.000999999999999999,0.04219598215006,0.0438143740689642,52.8350515463918,0.97825501424852
