"In_sample","theta","alpha","lambda","rho","mae","rmse"
1,4,0.125,0.000999999999999999,0.965122349317516,0.211893920938372,0.259933833560349
1,4,0.125,0.000999999999999999,0.817299271739692,0.39219849864868,0.583435974259432
1,4,0.125,0.000999999999999999,0.970007111472687,0.188141312112405,0.247065504097012
1,4,0.125,0.000999999999999999,0.961644796587861,0.224682955037923,0.274479337747039
1,4,0.125,0.000999999999999999,0.973576307327507,0.160441318900246,0.227830303222905
1,4,0.125,0.000999999999999999,0.991027785650032,0.10333568205939,0.132513416655257
1,4,0.125,0.000999999999999999,0.878667988040283,0.360917058882472,0.476569058626477
1,4,0.125,0.000999999999999999,0.971227970634534,0.18627282462801,0.237288229728398
1,8,0,1,0.931587646231866,0.256003144603511,0.361050233937635
1,8,0,1,0.837516796851108,0.365338397651007,0.55205201006746
1,8,0,1,0.921922337812385,0.30236009370221,0.386375230132155
1,8,0,1,0.942993194005314,0.250253490469658,0.332456713546158
1,8,0,1,0.950280141712657,0.243290957789966,0.311885161966203
1,8,0,1,0.955933356201451,0.222419012549736,0.295110253892931
1,8,0,1,0.873104650515565,0.277352237827646,0.489777632392716
1,8,0,1,0.95844198158932,0.229589911812828,0.284782546005597
1,4,0.125,0.000999999999999999,0.971058626029722,0.194630776126441,0.240418942774195
1,4,0.125,0.000999999999999999,0.963004543746792,0.20611145955088,0.271033605950201
1,4,0.125,0.000999999999999999,0.989661942326266,0.107480724773008,0.143340150210723
1,4,0.125,0.000999999999999999,0.981582174858979,0.147670140362101,0.190482678308419
1,4,0.125,0.000999999999999999,0.956467730519016,0.231135855599718,0.290176256704713
1,4,0.125,0.000999999999999999,0.916084658183062,0.299453115685819,0.397023801454196
1,4,0.125,0.000999999999999999,0.948107785934774,0.249371501007784,0.318549986069815
1,4,0.125,0.000999999999999999,0.984237702146755,0.114291783213062,0.177848137530826
1,3,0.125,0.00163789370695406,0.936458983687771,0.265673156294626,0.346650767271866
1,3,0.125,0.00163789370695406,0.933275218051421,0.272521389782711,0.358500340072871
1,3,0.125,0.00163789370695406,0.954312250742387,0.23457361245888,0.301527253988178
1,3,0.125,0.00163789370695406,0.975217768571266,0.172988742632793,0.221034920580196
1,3,0.125,0.00163789370695406,0.979385686640169,0.160712139186396,0.203320181065997
1,3,0.125,0.00163789370695406,0.951318743821277,0.236448229715574,0.306809599250815
1,3,0.125,0.00163789370695406,0.95333464833885,0.231615772184479,0.302481149816122
1,3,0.125,0.00163789370695406,0.932613196291275,0.296887910203416,0.359315175077035
1,6,0.125,0.00439397056076079,0.924824314055058,0.297910826996367,0.385506368205131
1,6,0.125,0.00439397056076079,0.981345732147923,0.155575867067293,0.194154282267988
1,6,0.125,0.00439397056076079,0.990725771170268,0.0960930797800226,0.136058785772075
1,6,0.125,0.00439397056076079,0.959108434176873,0.19715792777113,0.283187002271371
1,6,0.125,0.00439397056076079,0.98724899775551,0.121938929911923,0.157807623320834
1,6,0.125,0.00439397056076079,0.992757403800705,0.0957628987151927,0.120539160319306
1,6,0.125,0.00439397056076079,0.988201074232694,0.115925020649152,0.153212536109096
1,6,0.125,0.00439397056076079,0.938373301786428,0.276059327285682,0.344413677032597
