"sp","rho","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","vlag_1","vlag_2","vlag_3","vlag_4","vlag_5","vlag_6","vlag_7","vlag_8","vlag_9","vlag_10"
1,0.847371332191041,1,42,103,27,13,9,53,NA,NA,NA,1,3,3,1,1,1,3,NA,NA,NA
1,0.84145313824581,1,33,56,60,55,46,23,NA,NA,NA,1,1,2,3,1,1,3,NA,NA,NA
1,0.835004264057036,1,86,61,33,114,108,9,NA,NA,NA,1,3,3,1,3,2,1,NA,NA,NA
1,0.834280223203742,1,33,78,73,41,60,23,NA,NA,NA,1,1,1,1,2,3,1,NA,NA,NA
1,0.833911590774907,1,42,87,27,55,100,67,NA,NA,NA,1,1,3,1,1,2,3,NA,NA,NA
1,0.833467595079137,1,111,33,29,9,39,95,NA,NA,NA,1,2,1,2,1,1,2,NA,NA,NA
1,0.828548162883078,1,53,9,44,110,27,1,NA,NA,NA,1,2,1,1,1,1,3,NA,NA,NA
1,0.825552574957737,1,23,33,17,75,92,65,NA,NA,NA,1,3,1,1,1,3,2,NA,NA,NA
1,0.821854612753112,1,99,39,98,33,58,60,NA,NA,NA,1,1,3,3,1,3,1,NA,NA,NA
1,0.814440783606309,1,57,49,105,66,68,27,NA,NA,NA,1,3,2,1,1,3,1,NA,NA,NA
1,0.813780916839128,1,26,59,82,94,9,53,NA,NA,NA,1,1,1,2,1,1,2,NA,NA,NA
1,0.812688053812734,1,47,96,33,3,58,46,NA,NA,NA,1,3,3,1,1,2,2,NA,NA,NA
1,0.812675061998854,1,66,73,33,6,9,112,NA,NA,NA,1,2,3,1,3,1,1,NA,NA,NA
1,0.812555331767701,1,33,96,63,3,57,63,NA,NA,NA,1,1,1,3,3,1,1,NA,NA,NA
1,0.812422474688431,1,50,16,1,106,56,9,NA,NA,NA,1,1,1,3,2,1,1,NA,NA,NA
1,0.811834779112256,1,34,91,39,23,39,9,NA,NA,NA,1,1,1,1,3,3,1,NA,NA,NA
1,0.811351666895465,1,63,33,41,94,75,43,NA,NA,NA,1,3,1,2,3,1,2,NA,NA,NA
1,0.810520390192383,1,92,37,33,8,45,34,NA,NA,NA,1,3,2,1,1,1,1,NA,NA,NA
1,0.807720205590348,1,73,40,68,6,11,47,NA,NA,NA,1,3,3,3,1,2,3,NA,NA,NA
1,0.807661172150122,1,27,33,87,70,60,98,NA,NA,NA,1,1,1,3,1,3,3,NA,NA,NA
1,0.806544382476314,1,87,106,59,1,9,40,NA,NA,NA,1,3,2,1,2,1,3,NA,NA,NA
1,0.806291145607356,1,41,41,97,33,12,59,NA,NA,NA,1,3,2,2,1,3,1,NA,NA,NA
1,0.806093453716307,1,92,102,97,47,75,57,NA,NA,NA,1,3,1,3,3,3,2,NA,NA,NA
1,0.804758016733588,1,60,8,33,105,73,75,NA,NA,NA,1,3,3,1,3,1,3,NA,NA,NA
1,0.804446126535388,1,40,27,66,37,56,26,NA,NA,NA,1,1,1,3,1,3,3,NA,NA,NA
1,0.804236765786717,1,55,33,99,114,44,101,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA
1,0.804100068310981,1,57,33,45,106,87,75,NA,NA,NA,1,3,1,1,3,1,1,NA,NA,NA
1,0.803837177322387,1,51,21,9,50,53,53,NA,NA,NA,1,3,3,1,3,2,3,NA,NA,NA
1,0.802148733231795,1,101,27,68,53,85,46,NA,NA,NA,1,3,1,1,2,1,2,NA,NA,NA
1,0.801830419624282,1,23,16,27,99,42,37,NA,NA,NA,1,1,2,1,1,1,1,NA,NA,NA
1,0.801784224944901,1,93,59,105,33,1,95,NA,NA,NA,1,2,1,1,1,3,3,NA,NA,NA
1,0.800732575035305,1,34,9,67,11,99,19,NA,NA,NA,1,1,2,3,3,3,3,NA,NA,NA
1,0.797987068576569,1,70,57,96,33,53,50,NA,NA,NA,1,3,1,3,1,1,2,NA,NA,NA
1,0.797684621342718,1,57,105,44,33,57,27,NA,NA,NA,1,2,2,2,1,3,1,NA,NA,NA
1,0.797559141119938,1,12,48,96,33,40,92,NA,NA,NA,1,2,1,3,1,2,3,NA,NA,NA
1,0.797251205723594,1,77,67,33,102,50,106,NA,NA,NA,1,3,2,1,1,1,3,NA,NA,NA
1,0.796827971184555,1,63,50,89,1,98,33,NA,NA,NA,1,1,2,3,3,2,1,NA,NA,NA
1,0.796170706354223,1,57,33,97,74,61,41,NA,NA,NA,1,3,1,2,1,1,1,NA,NA,NA
1,0.79611442962475,1,39,33,92,69,61,37,NA,NA,NA,1,2,1,3,3,1,1,NA,NA,NA
1,0.795802517985377,1,27,39,47,114,13,51,NA,NA,NA,1,3,3,3,2,1,2,NA,NA,NA
1,0.79437742082145,1,67,69,55,89,23,87,NA,NA,NA,1,2,2,3,1,3,3,NA,NA,NA
1,0.792798774253239,1,100,33,108,63,37,94,NA,NA,NA,1,2,1,1,3,1,3,NA,NA,NA
1,0.792782581050064,1,57,69,103,48,11,47,NA,NA,NA,1,1,3,2,1,2,3,NA,NA,NA
1,0.792534841964859,1,27,9,13,45,107,88,NA,NA,NA,1,1,1,3,1,2,2,NA,NA,NA
1,0.792044534340575,1,11,62,11,12,70,105,NA,NA,NA,1,3,2,2,1,3,1,NA,NA,NA
1,0.790145648145236,1,44,82,27,13,103,24,NA,NA,NA,1,1,2,1,2,2,1,NA,NA,NA
1,0.788038107987138,1,42,63,96,9,3,92,NA,NA,NA,1,3,2,3,1,3,3,NA,NA,NA
1,0.788037288116247,1,67,38,39,60,16,33,NA,NA,NA,1,2,3,1,3,2,1,NA,NA,NA
1,0.787928271650285,1,4,9,20,27,73,34,NA,NA,NA,1,3,1,1,1,2,1,NA,NA,NA
1,0.787803960335983,1,37,106,44,6,77,27,NA,NA,NA,1,3,2,3,3,2,1,NA,NA,NA
1,0.787443703880954,1,88,99,103,33,41,11,NA,NA,NA,1,1,3,3,1,2,2,NA,NA,NA
1,0.787105229542785,1,34,99,65,17,9,63,NA,NA,NA,1,1,3,1,3,1,3,NA,NA,NA
1,0.787045756434094,1,57,112,99,33,5,39,NA,NA,NA,1,2,2,2,1,2,3,NA,NA,NA
1,0.7863691936107,1,91,60,94,1,102,25,NA,NA,NA,1,1,3,2,3,1,2,NA,NA,NA
1,0.78630933824367,1,95,33,112,39,57,102,NA,NA,NA,1,2,3,2,2,3,1,NA,NA,NA
1,0.785471781236351,1,114,33,79,16,41,21,NA,NA,NA,1,2,1,3,2,2,1,NA,NA,NA
1,0.785064287751773,1,27,9,1,41,13,3,NA,NA,NA,1,1,2,3,2,2,2,NA,NA,NA
1,0.784745594757581,1,9,47,16,11,103,43,NA,NA,NA,1,1,2,2,3,3,1,NA,NA,NA
1,0.784403816055458,1,44,102,42,75,83,96,NA,NA,NA,1,3,1,1,3,3,3,NA,NA,NA
1,0.784081562494266,1,9,20,64,37,108,69,NA,NA,NA,1,1,3,3,3,1,3,NA,NA,NA
1,0.784039921812664,1,43,58,56,9,40,63,NA,NA,NA,1,3,3,3,1,3,2,NA,NA,NA
1,0.784014956655545,1,73,62,27,58,11,113,NA,NA,NA,1,1,3,1,3,2,1,NA,NA,NA
1,0.782972566961147,1,113,16,87,57,44,86,NA,NA,NA,1,3,1,3,3,1,1,NA,NA,NA
1,0.782899063317093,1,55,33,74,51,13,25,NA,NA,NA,1,3,1,3,1,2,2,NA,NA,NA
1,0.782732511599128,1,33,37,83,29,75,114,NA,NA,NA,1,1,2,3,2,2,2,NA,NA,NA
1,0.782420548867876,1,114,26,16,82,60,13,NA,NA,NA,1,1,1,1,2,3,1,NA,NA,NA
1,0.782105860141839,1,83,94,27,53,44,74,NA,NA,NA,1,2,1,1,2,2,2,NA,NA,NA
1,0.781576908637482,1,27,24,77,39,13,9,NA,NA,NA,1,1,1,3,2,2,1,NA,NA,NA
1,0.78127639171726,1,106,73,33,61,79,42,NA,NA,NA,1,1,3,1,2,3,3,NA,NA,NA
1,0.781154117214362,1,48,40,69,61,112,9,NA,NA,NA,1,3,1,3,2,1,1,NA,NA,NA
1,0.780812526045626,1,68,53,102,39,50,61,NA,NA,NA,1,3,2,1,2,1,3,NA,NA,NA
1,0.780539186381535,1,58,102,53,61,55,100,NA,NA,NA,1,1,1,1,3,1,1,NA,NA,NA
1,0.780516492881866,1,39,94,20,93,33,83,NA,NA,NA,1,3,1,1,1,1,3,NA,NA,NA
1,0.780326747206655,1,55,38,75,39,96,33,NA,NA,NA,1,2,2,3,2,1,1,NA,NA,NA
1,0.780287379946913,1,67,42,47,89,102,69,NA,NA,NA,1,3,3,1,2,2,3,NA,NA,NA
1,0.780173414330227,1,39,24,102,38,33,45,NA,NA,NA,1,1,3,3,2,1,2,NA,NA,NA
1,0.780036276093205,1,96,65,33,23,101,101,NA,NA,NA,1,3,2,1,1,1,3,NA,NA,NA
1,0.779957930103965,1,96,23,108,60,65,9,NA,NA,NA,1,2,3,3,2,3,1,NA,NA,NA
1,0.778858850414192,1,33,57,34,69,11,19,NA,NA,NA,1,1,3,1,2,3,2,NA,NA,NA
1,0.778466074310253,1,68,99,75,95,27,1,NA,NA,NA,1,2,1,1,2,1,3,NA,NA,NA
1,0.778179863358969,1,99,25,33,59,41,91,NA,NA,NA,1,2,1,1,1,2,1,NA,NA,NA
1,0.778037745002818,1,102,9,42,78,66,107,NA,NA,NA,1,1,1,3,3,2,3,NA,NA,NA
1,0.777665998309227,1,61,60,87,102,62,82,NA,NA,NA,1,2,2,3,1,3,1,NA,NA,NA
1,0.777431583868476,1,83,89,102,93,9,23,NA,NA,NA,1,1,3,2,3,1,1,NA,NA,NA
1,0.777221228686438,1,55,97,75,95,112,33,NA,NA,NA,1,2,3,1,2,1,1,NA,NA,NA
1,0.777134801885772,1,44,20,33,79,101,114,NA,NA,NA,1,3,2,1,1,2,2,NA,NA,NA
1,0.776949969702659,1,27,68,92,83,53,8,NA,NA,NA,1,1,3,1,3,3,3,NA,NA,NA
1,0.77654633205505,1,43,74,21,74,9,51,NA,NA,NA,1,1,2,2,3,1,3,NA,NA,NA
1,0.776407991020756,1,55,100,23,53,62,39,NA,NA,NA,1,3,1,2,1,2,2,NA,NA,NA
1,0.7761408556927,1,33,33,12,92,60,82,NA,NA,NA,1,1,2,2,3,2,3,NA,NA,NA
1,0.775915983327477,1,13,113,46,75,92,4,NA,NA,NA,1,2,2,3,1,3,3,NA,NA,NA
1,0.775477142295695,1,73,108,114,27,41,98,NA,NA,NA,1,3,2,2,1,2,3,NA,NA,NA
1,0.774877116401901,1,55,107,85,33,45,51,NA,NA,NA,1,3,3,3,1,3,1,NA,NA,NA
1,0.774842889403642,1,73,45,28,53,93,33,NA,NA,NA,1,3,3,1,3,2,1,NA,NA,NA
1,0.773600017351919,1,46,53,34,103,108,33,NA,NA,NA,1,3,1,1,2,3,3,NA,NA,NA
1,0.773570471705005,1,49,48,103,11,87,39,NA,NA,NA,1,3,3,3,3,3,1,NA,NA,NA
1,0.773527987484001,1,56,8,93,33,63,11,NA,NA,NA,1,3,3,1,1,2,3,NA,NA,NA
1,0.773500380370208,1,55,41,79,33,49,68,NA,NA,NA,1,1,1,3,1,3,2,NA,NA,NA
1,0.773429270277551,1,21,33,58,3,50,88,NA,NA,NA,1,2,1,2,3,1,1,NA,NA,NA
1,0.773343573535134,1,107,62,16,19,11,78,NA,NA,NA,1,1,2,1,3,3,1,NA,NA,NA
2,0.946856229614431,2,10,2,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA
2,0.94595907023503,2,10,27,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA
2,0.944892473282958,2,10,6,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA
2,0.944892473282958,2,6,10,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA
2,0.94120062831162,2,72,10,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
2,0.940691459163324,2,10,66,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA
2,0.939634163930544,2,24,10,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA
2,0.938630230402432,2,35,10,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA
2,0.938630230402432,2,10,35,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA
2,0.938630230402432,2,10,35,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA
2,0.936776851697133,2,66,10,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
2,0.936411303500694,2,36,10,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA
