"sp","rho","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","vlag_1","vlag_2","vlag_3","vlag_4","vlag_5","vlag_6","vlag_7","vlag_8","vlag_9","vlag_10"
1,0.917301997422184,1,99,106,87,69,62,32,96,NA,NA,1,2,3,1,3,3,3,1,NA,NA
1,0.915805960731117,1,27,33,9,4,14,85,72,NA,NA,1,2,1,1,1,3,3,2,NA,NA
1,0.913462412577036,1,93,66,27,13,105,84,62,NA,NA,1,2,2,2,2,2,3,3,NA,NA
1,0.911454351393225,1,117,77,70,106,101,96,3,NA,NA,1,3,2,2,3,3,1,1,NA,NA
1,0.910784678113159,1,65,79,52,55,101,54,109,NA,NA,1,3,3,1,1,3,1,2,NA,NA
1,0.907339261519126,1,77,65,13,13,46,19,93,NA,NA,1,3,2,2,3,1,3,2,NA,NA
1,0.907035001833325,1,3,70,28,95,8,62,110,NA,NA,1,2,1,3,3,1,3,1,NA,NA
1,0.906597786054031,1,55,87,65,65,75,1,96,NA,NA,1,1,3,2,3,2,3,1,NA,NA
1,0.905652221437118,1,84,67,93,13,25,17,12,NA,NA,1,1,1,2,2,3,3,2,NA,NA
1,0.905649987812398,1,23,102,12,86,81,74,107,NA,NA,1,1,3,3,2,3,1,2,NA,NA
1,0.905575844710661,1,4,23,57,30,84,74,40,NA,NA,1,1,1,3,1,3,1,2,NA,NA
1,0.905327800760552,1,81,4,101,95,80,79,102,NA,NA,1,3,1,3,2,1,3,2,NA,NA
1,0.905215924470972,1,73,66,97,68,4,74,83,NA,NA,1,1,3,3,2,1,3,1,NA,NA
1,0.905141128554609,1,96,23,102,84,48,34,10,NA,NA,1,1,3,3,3,1,3,1,NA,NA
1,0.904118135425121,1,21,5,15,109,57,21,13,NA,NA,1,3,2,1,3,3,1,3,NA,NA
1,0.903795315600153,1,79,50,43,90,11,49,94,NA,NA,1,3,1,2,3,2,3,3,NA,NA
1,0.903027251490413,1,85,55,97,10,68,75,61,NA,NA,1,3,1,1,3,3,2,2,NA,NA
1,0.902864166338602,1,22,77,5,74,30,106,10,NA,NA,1,3,1,3,2,3,3,1,NA,NA
1,0.902679116735894,1,101,76,66,62,67,109,73,NA,NA,1,3,1,2,3,1,2,1,NA,NA
1,0.901720428828418,1,43,50,91,106,40,8,89,NA,NA,1,2,1,2,3,2,1,3,NA,NA
1,0.901531866402999,1,106,5,64,19,19,3,110,NA,NA,1,3,3,2,3,2,2,2,NA,NA
1,0.901397065222155,1,8,110,20,3,10,47,68,NA,NA,1,3,2,1,2,1,3,2,NA,NA
1,0.901232917625142,1,10,47,13,27,87,43,79,NA,NA,1,1,3,2,1,2,2,3,NA,NA
1,0.900525609245764,1,46,89,32,14,68,117,78,NA,NA,1,3,3,1,1,3,3,1,NA,NA
1,0.900493355286675,1,8,28,85,24,1,95,101,NA,NA,1,1,3,3,3,2,3,3,NA,NA
1,0.90024301780831,1,57,45,60,13,106,81,85,NA,NA,1,1,1,2,2,3,3,3,NA,NA
1,0.899702986335626,1,44,59,13,89,23,70,36,NA,NA,1,2,3,2,3,1,3,2,NA,NA
1,0.899675589636309,1,62,69,12,97,13,76,64,NA,NA,1,3,3,3,2,3,1,2,NA,NA
1,0.899476638823319,1,95,96,46,33,8,4,55,NA,NA,1,3,1,2,2,2,1,2,NA,NA
