"variable","theta","alpha","lambda","mse","msesd","nonzero","zeroind","rho"
1,0.1,0.725,0.000999999999999999,0.00303428323633299,0.00437355494731915,38.2680412371134,1,0.998477582425114
2,6,1,0.000999999999999999,0.100324544269975,0.159610926963858,18.1546391752577,1,0.948582204604377
3,2,0.5,0.000999999999999999,0.00489240586899918,0.0112709233753526,33.2061855670103,1,0.997590940667053
4,0.5,0.375,0.000999999999999999,0.00129254481376907,0.0029159317605325,45.0309278350515,1,0.999350749678254
5,8,0,0.372759372031494,0.00589429320074374,0.015153203878821,117,1,0.997085915298215
6,3,0.4,0.000999999999999999,0.00443522507572336,0.0098432963552035,32.4639175257732,1,0.99778696771938
7,8,0.525,0.000999999999999999,0.0154605394584197,0.0248942484904136,25.639175257732,1,0.992200343034418
8,0,0.625,0.000999999999999999,0.00186097048173123,0.00328169401581255,41.2474226804124,1,0.999071905515754
9,4,0.55,0.000999999999999999,0.00746028347889679,0.0161710310521954,23.8969072164948,1,0.996147867653321
10,0.5,0.1,0.000999999999999999,0.00195726437858471,0.00300841599498162,89.5979381443299,1,0.999003458553059
11,8,0.15,0.0316227766016838,0.103872527739342,0.24600896563847,19.0927835051546,1,0.947275821647782
12,2,0.95,0.000999999999999999,0.0105703492978057,0.0181010755826895,29.5567010309278,1,0.994688299469431
13,3,0.7,0.000999999999999999,0.0132769664487964,0.0350377828868752,32.5773195876289,1,0.993234919499369
14,2,0.525,0.000999999999999999,0.00414443944876032,0.0103739613974364,36.4639175257732,1,0.997925395733828
15,4,0.975,0.000999999999999999,0.0306505369027952,0.0625978707595903,21.3298969072165,1,0.985051473966838
16,6,1,0.000999999999999999,0.0108826683723195,0.0176558092560793,15.1030927835052,1,0.994324139516902
17,0.75,0.6,0.000999999999999999,0.00292380010856562,0.00509216489803991,43.3298969072165,1,0.998521465246712
18,4,0.975,0.00163789370695406,0.00972822664804861,0.0237056176601155,16.1855670103093,1,0.995089950180039
19,2,0.95,0.000999999999999999,0.00723561033718449,0.0211779515996938,27.0618556701031,1,0.996257675966943
20,4,0.05,0.000999999999999999,0.000501212065235263,0.000672022214028356,59.5567010309278,1,0.999748368564017
21,0.75,0.55,0.000999999999999999,0.00279404974311756,0.00597063660590157,44.5051546391753,1,0.998586330623904
22,2,0.25,0.000999999999999999,0.00678591413546621,0.0169093185573418,48.3505154639175,1,0.996606069608555
23,6,1,0.00163789370695406,0.0486478204317731,0.0626282957135568,15.9690721649485,1,0.975957467284194
24,0.005,0.275,0.000999999999999999,0.00104075440446573,0.0020771984239887,51.8865979381443,1,0.999479019474497
25,3,0.05,0.000999999999999999,0.00900413064589735,0.0145268654749008,92.360824742268,1,0.995519593718552
26,3,0.35,0.000999999999999999,0.0333353638360021,0.0967194725625043,46.2268041237113,1,0.983149695922021
27,4,0.625,0.000999999999999999,0.0276982269558562,0.088741518183737,28.0618556701031,1,0.986177623109309
28,3,1,0.000999999999999999,0.00818271078902142,0.0145065687135792,23.5979381443299,1,0.995932990190389
29,3,0.25,0.000999999999999999,0.00466335591905846,0.00612393526435246,44.0618556701031,1,0.997669995092305
30,6,0.875,0.000999999999999999,0.0137293207719447,0.0411463700081977,17.2268041237113,1,0.99332465890985
31,0,0.875,0.000999999999999999,0.00104460774993199,0.00199480470081926,33.5876288659794,1,0.999479373503348
32,6,0.975,0.000999999999999999,0.0322981677364389,0.0751846122071226,16.360824742268,1,0.983644998641349
33,6,1,0.000999999999999999,0.0288067056400318,0.0555377355132276,15.7628865979381,1,0.986157138130343
34,0.005,0.475,0.000999999999999999,0.000876742501682481,0.00129698185188058,39.8247422680412,1,0.999551668745602
35,0,0.2,0.000999999999999999,0.00171965107879353,0.00410155700571231,71.0618556701031,1,0.999132577374322
36,2,0.525,0.000999999999999999,0.000396620671785108,0.000673303804460523,21.4845360824742,1,0.999803404205568
37,0.01,0.175,0.000999999999999999,0.00505896953718721,0.00934918029426918,83.8762886597938,1,0.99747282015481
38,6,0.975,0.000999999999999999,0.0239614824473253,0.0588686286028387,14.6907216494845,1,0.987859816582291
39,1.5,0.275,0.000999999999999999,0.00368161672712454,0.00610508099024979,50.5463917525773,1,0.998156203847712
40,2,0.05,0.000999999999999999,0.00183857151083899,0.00439574752294182,85.7938144329897,1,0.9989914655557
41,2,0.975,0.000999999999999999,0.0048449152932075,0.0122086528729373,29.7835051546392,1,0.997597197907892
42,1.5,0.375,0.000999999999999999,0.00449452653045328,0.00840133941523003,44.1237113402062,1,0.997704326225842
43,4,0.975,0.000999999999999999,0.0177069128661844,0.0281841913265286,22.2886597938144,1,0.99129247346628
44,2,1,0.000999999999999999,0.0058968303960438,0.00966363997576685,30.5257731958763,1,0.997080038609645
45,0.25,0.175,0.000999999999999999,0.00174559238933955,0.00340044207403203,68.8865979381443,1,0.999119404355789
46,3,0.6,0.000999999999999999,0.00694852233545685,0.0227069788682136,30.5257731958763,1,0.996464949544691
47,0.25,0.675,0.000999999999999999,0.00199151944530082,0.00332745494798981,43.1649484536082,1,0.999004491647691
48,0.01,0.55,0.000999999999999999,0.00343559383709127,0.00500233607513794,41.7113402061856,1,0.998274123242901
49,4,1,0.000999999999999999,0.00629231439125132,0.00968296840257822,17.7113402061856,1,0.997004978671976
50,0.25,0.05,0.000999999999999999,0.00294602947295863,0.0059491806643277,110.515463917526,1,0.998527097945502
51,4,0.55,0.000999999999999999,0.0100617100233672,0.0273014084517745,30.0721649484536,1,0.994587901704807
52,3,0.1,0.000999999999999999,0.00550909389877706,0.0101750838308192,70.6907216494845,1,0.997131166059892
53,4,0.375,0.000999999999999999,0.00395075568569133,0.0082546267857006,25.0412371134021,1,0.998022307256507
54,6,0.575,0.000999999999999999,0.00822982450228883,0.0208236667060009,23.319587628866,1,0.995937762116033
55,8,1,0.000999999999999999,0.0180626916086725,0.0296488546101645,10.5876288659794,1,0.992228574234444
56,3,0.425,0.000999999999999999,0.00489719020677566,0.00812532795054551,37.4123711340206,1,0.997554256508015
57,1.5,0.05,0.000999999999999999,0.00744746645077196,0.0149706994386713,104.649484536082,1,0.996260929906471
58,0.25,1,0.000999999999999999,0.00125020457144819,0.00288527525409968,31.7010309278351,1,0.999365970163539
59,3,0.7,0.000999999999999999,0.00770461365808338,0.0157215124981941,27.3917525773196,1,0.996200137018705
60,4,0.275,0.000999999999999999,0.00187674867397052,0.00435766568217223,34.5670103092784,1,0.999044385414825
61,1,0.1,0.000999999999999999,0.00213332625994566,0.00399991607983125,82.2268041237113,1,0.998933479021962
62,4,0.675,0.000999999999999999,0.0121754306908766,0.047512346493462,24.8762886597938,1,0.993867894052864
63,1,1,0.000999999999999999,0.0058167536897836,0.0108266956451677,37.2268041237113,1,0.997085488185725
64,2,0.85,0.000999999999999999,0.00494787311099642,0.012406262218246,33.2474226804124,1,0.997519485529128
65,4,0.4,0.000999999999999999,0.00923842821331085,0.0173143153552581,35.6701030927835,1,0.995685268752719
66,6,1,0.00163789370695406,0.00744285968686896,0.0150979642584796,14.3298969072165,1,0.996333403243201
67,1,0.8,0.000999999999999999,0.0025607217437429,0.00491262838843024,32.6185567010309,1,0.998702635653329
68,4,0.975,0.000999999999999999,0.00876822558691784,0.021974879038291,20.7835051546392,1,0.995675976656967
69,4,0.7,0.000999999999999999,0.00887345458017375,0.016643064415527,23.2680412371134,1,0.995512536569353
70,0,0.4,0.000999999999999999,0.00123230203398823,0.00209333061742983,49.6082474226804,1,0.999384161791921
71,1,0.4,0.000999999999999999,0.00241100454084477,0.00447160884885563,46.4639175257732,1,0.998759732163462
72,3,0.175,0.000999999999999999,0.00281956789082338,0.00496158874808267,46.7628865979381,1,0.998597464749462
73,4,0.65,0.000999999999999999,0.00463772320288418,0.0128724980430833,25.9690721649485,1,0.997681551086256
74,6,0.1,0.000999999999999999,0.00769558505136858,0.0190258545176215,47.9587628865979,1,0.99618827185428
75,2,0.95,0.000999999999999999,0.00508344563506216,0.012209983474466,29.7010309278351,1,0.997226459824854
76,1.5,0.2,0.000999999999999999,0.00166072897358338,0.00226224308890121,59.3092783505155,1,0.999167477454894
77,6,0.925,0.000999999999999999,0.0097667481743815,0.0479971749569832,12.4948453608247,1,0.995063872688437
78,3,0.175,0.000999999999999999,0.00971691752138612,0.0169828319691726,50.319587628866,1,0.995112069376554
79,3,0.85,0.000999999999999999,0.00851971516012058,0.0276850026509565,23.360824742268,1,0.995718774213898
80,8,1,0.000999999999999999,0.0244982191977903,0.0528651552580945,11.0515463917526,1,0.988925230176714
81,2,0.9,0.000999999999999999,0.00204052256318905,0.00362714165742697,28.5463917525773,1,0.998988348504076
82,4,1,0.000999999999999999,0.00602434368278705,0.0135280219544663,25.4329896907216,1,0.996979013341877
83,6,0.225,0.000999999999999999,0.00594984531337628,0.0195075901179188,37.2371134020619,1,0.996936353854405
84,4,0.25,0.000999999999999999,0.0108596244626421,0.0260983852482609,43.5876288659794,1,0.994563331016124
85,6,1,0.000999999999999999,0.0102370653434452,0.0425185538535714,10.8453608247423,1,0.994901081000161
86,2,0.875,0.000999999999999999,0.00248986109697579,0.00504170681017097,26.1237113402062,1,0.998749750716896
87,4,0.95,0.000999999999999999,0.00344159105105915,0.00630674298627264,20.3917525773196,1,0.998386722878634
88,0.01,0.25,0.000999999999999999,0.00202643777378479,0.00383300642016112,68.4948453608247,1,0.998987073417968
89,1.5,0.175,0.000999999999999999,0.00601078726344034,0.0128489276968959,68.4329896907217,1,0.996994218836974
90,3,0.975,0.000999999999999999,0.00417952428481705,0.0137014247779749,20.7216494845361,1,0.997963980838289
91,1,0.2,0.000999999999999999,0.00270054533259086,0.00439429909067046,60.659793814433,1,0.998639291816027
92,4,0.75,0.000999999999999999,0.0108037442164772,0.0177926707826841,25.1546391752577,1,0.994611954994715
93,6,0,0.000999999999999999,0.00684642796757437,0.0158351469331923,117,1,0.996680238334486
94,2,0.925,0.000999999999999999,0.00186413574292506,0.00429590083464626,26.2989690721649,1,0.999067176469387
95,4,0.125,0.000999999999999999,0.0103702307101528,0.0287636639383366,54.340206185567,1,0.994837761930144
96,8,1,0.000999999999999999,0.0197207935616462,0.0357023305463262,10.1443298969072,1,0.990563736833815
97,0.005,0.4,0.000999999999999999,0.00193860009462835,0.00386104958882892,61.9587628865979,1,0.998985068384328
98,3,0.175,0.000999999999999999,0.00383426753531342,0.0076521921563258,50.2164948453608,1,0.998081758051573
99,1.5,0.225,0.000999999999999999,0.00452519870064189,0.00936757899016996,53.9896907216495,1,0.997710487222939
100,3,1,0.000999999999999999,0.00286573592797606,0.00547941721248902,20.9175257731959,1,0.998559339358052
101,4,1,0.000999999999999999,0.00756969936131064,0.0111361655604647,19.8556701030928,1,0.996395807611131
102,6,0.85,0.000999999999999999,0.00513974455376405,0.0130900546753501,17.2577319587629,1,0.997466800830413
103,4,1,0.000999999999999999,0.00138348753915185,0.00306132367124551,15.9072164948454,1,0.999350386481958
104,3,0.025,0.000999999999999999,0.00275526469929658,0.00541214347953286,103.340206185567,1,0.998625702665368
105,3,0.45,0.000999999999999999,0.00317710061248436,0.00663420220735859,32.659793814433,1,0.998327545654179
106,6,0.025,0.000999999999999999,0.00843191080167877,0.0184491442094571,84.8969072164948,1,0.995639157122704
107,0.75,0.45,0.000999999999999999,0.00126375293420051,0.00206861599052705,45.8762886597938,1,0.999363005664647
108,4,1,0.000999999999999999,0.00812212329522241,0.0165089641998216,21.979381443299,1,0.995941256196397
109,1.5,0.45,0.000999999999999999,0.00138827493543859,0.00339016608894902,38.7835051546392,1,0.999298714593189
110,3,0.325,0.000999999999999999,0.00283588764230548,0.00614463064429906,41.2783505154639,1,0.99866511488551
111,3,0.175,0.000999999999999999,0.00194801730228756,0.00345385858474025,55.7216494845361,1,0.999008502529324
112,1.5,0.925,0.000999999999999999,0.00400057775792621,0.00804794244300551,32.5773195876289,1,0.997985134379577
113,2,0.125,0.000999999999999999,0.000989437515175247,0.00209956415295012,60.8350515463918,1,0.999503409396958
114,3,0.775,0.000999999999999999,0.00208747970253808,0.00408920033453992,29.5773195876289,1,0.998945066164339
115,6,1,0.000999999999999999,0.00989042938176079,0.0226575074438221,16.659793814433,1,0.995095670039866
116,4,0.9,0.000999999999999999,0.00722682322319022,0.0139612649598451,29.2061855670103,1,0.996396806295852
117,0.01,0.7,0.000999999999999999,0.00237476961941278,0.00421939762292525,38.0309278350515,1,0.998783662610452
